Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount,Sales,Cost,Region,State,City,Sales_Channel,Shipping_Mode,Delivery_Days,Payment_Method,Order_Status,Profit ,,,
O00054,4/17/2025,C0196,P020,2,24036,0,48072,34510.61,South,Telangana,Hyderabad,Marketplace,Same Day,2,Card,Cancelled,13561.39,,,
O00055,6/15/2025,C0130,P020,5,14463,15,61467.75,48856.3,West,Maharashtra,Pune,Website,Standard,1,COD,Delivered,12611.45,,,
O00056,8/6/2025,C0143,P018,1,25113,0,25113,19531.73,North,Telangana,Hyderabad,Website,Express,7,Card,Cancelled,5581.27,,,
O00057,1/12/2025,C0385,P034,2,37233,25,55849.5,46693.38,South,Karnataka,Bengaluru,Mobile App,Express,7,UPI,Delivered,9156.12,,,
O00058,15/06/2025,C0057,P027,1,5473,-5,5473,4937.26,South,Telangana,Hyderabad,Mobile App,Express,7,Card,Delivered,535.74,,,
O00059,7/18/2025,C0047,P004,3,10869,0,32607,28102.2,East,Maharashtra,Mumbai,Website,Standard,6,COD,Cancelled,4504.8,,,
O00060,6/4/2025,C0316,P033,1,5306,5,5040.7,4809.72,West,Telangana,Hyderabad,Mobile App,Express,6,Net Banking,Delivered,230.98,,,
O00061,9/26/2025,C0161,P009,3,29452,10,79520.4,73497.4,East,Telangana,Hyderabad,Marketplace,Express,4,Card,Cancelled,6023,,,
O00062,7/4/2025,C0221,P005,2,5764,20,9222.4,8319.71,South,Telangana,Hyderabad,Website,Express,7,Card,Cancelled,902.69,,,
O00063,21/02/2025,C0096,P042,2,17468,35,24455.2,30927.84,East,Telangana,Hyderabad,Mobile App,Express,6,Card,Delivered,-6472.64,,,
O00064,7/28/2025,C0114,P012,1,17457,5,16584.15,10921.74,North,Telangana,Hyderabad,Website,Standard,3,Card,Cancelled,5662.41,,,
O00065,2/12/2025,C0014,P038,3,44254,30,92933.4,125626.5,North,Telangana,Hyderabad,Mobile App,Express,5,Net Banking,Delivered,-32693.1,,,
O00066,10/16/2025,C0337,P008,4,8762,15,29790.8,33065.34,South,Maharashtra,Pune,Website,Express,6,COD,Cancelled,-3274.54,,,
O00067,20/07/2025,C0457,P018,2,37505,35,52507,46853.64,West,Karnataka,Bengaluru,Marketplace,Standard,2,Net Banking,Delivered,5653.36,,,
O00113,4/18/2025,C0239,P043,1,1981,10,1782.9,1664.2,West,Karnataka,Bengaluru,Mobile App,Express,7,Net Banking,Delivered,118.7,,,
O00069,12/8/2025,Unknown,P018,4,42072,30,117801.6,147285.97,East,Telangana,Hyderabad,Mobile App,Express,4,Card,Delivered,-29484.37,,,
O00070,3/13/2025,C0291,P001,4,41580,25,124740,111228.36,West,Telangana,Hyderabad,Marketplace,Express,4,COD,Cancelled,13511.64,,,
O00071,6/28/2025,C0290,P014,1,11531,35,8071.7,10354.3,West,Maharashtra,Mumbai,Marketplace,Express,1,UPI,Delivered,-2282.6,,,
O00072,8/16/2025,C0117,P006,5,21382,35,74837,100737.49,South,Telangana,Hyderabad,Website,Same Day,5,COD,Delivered,-25900.49,,,
O00073,6/17/2025,C0490,P038,2,19539,35,27354.6,30468.52,North,Telangana,Hyderabad,Mobile App,Standard,3,Net Banking,Delivered,-3113.92,,,
O00074,12/30/2025,C0341,P039,3,44576,20,106982.4,113492.15,South,Telangana,Hyderabad,Mobile App,Standard,4,UPI,Delivered,-6509.75,,,
O00075,5/27/2025,C0111,P020,5,33970,15,144372.5,115807.55,East,Telangana,Hyderabad,Mobile App,Express,1,COD,Delivered,28564.95,,,
O00076,5/2/2025,C0110,P034,4,39909,20,127708.8,133565.81,East,Telangana,Hyderabad,Marketplace,Express,5,Card,Delivered,-5857.01,,,
O01303,2/12/2025,C0293,P040,2,31312,25,46968,50742.73,East,Maharashtra,Mumbai,Website,Same Day,1,Card,Cancelled,-3774.73,,,
O00078,7/14/2025,C0138,P023,5,6623,0,33115,20649.16,East,Karnataka,Bengaluru,Website,Express,7,COD,Delivered,12465.84,,,
O00079,2/13/2025,C0385,P003,4,11226,0,44904,40505.05,West,Karnataka,Bengaluru,Mobile App,Express,1,Card,Delivered,4398.95,,,
O00080,1/25/2025,C0089,P030,2,41421,15,70415.7,65163.27,West,Telangana,Hyderabad,Website,Standard,5,Net Banking,Delivered,5252.43,,,
O00081,7/5/2025,C0248,P029,2,37404,5,71067.6,62190.15,South,Karnataka,Bengaluru,Marketplace,Express,5,UPI,Cancelled,8877.45,,,
O00082,6/9/2025,C0407,P011,3,13615,0,40845,33829.97,South,Telangana,Hyderabad,Marketplace,Express,7,Card,Delivered,7015.03,,,
O00083,8/31/2025,C0027,P005,1,17991,25,13493.25,14206.73,East,Maharashtra,Pune,Mobile App,Express,3,Card,Delivered,-713.48,,,
O00084,12/8/2025,C0111,P013,1,45379,0,45379,39603.26,East,Telangana,Hyderabad,Website,Express,3,Card,Delivered,5775.74,,,
O00085,15/05/2025,C0086,P028,5,8476,15,36023,36812.72,South,Maharashtra,Pune,Mobile App,Express,5,Card,Delivered,-789.72,,,
O00086,3/7/2025,C0466,P045,5,14173,10,63778.5,49316.3,East,Telangana,Hyderabad,Marketplace,Same Day,5,Card,Cancelled,14462.2,,,
O00087,1/18/2025,C0269,P043,4,15006,15,51020.4,40361.73,South,Telangana,Hyderabad,Marketplace,Express,7,Card,Delivered,10658.67,,,
O00088,26/12/2025,C0181,P047,1,40637,35,28445.9,33909.03,West,Telangana,Hyderabad,Mobile App,Same Day,2,COD,Cancelled,-5463.13,,,
O00089,6/1/2025,C0305,P007,3,9347,0,28041,20345.23,North,Telangana,Hyderabad,Mobile App,Express,1,UPI,Cancelled,7695.77,,,
O00090,23/03/2025,C0264,P030,3,19200,-5,57600,49648.43,North,Telangana,Hyderabad,Website,Standard,2,UPI,Delivered,7951.57,,,
O00091,11/5/2025,C0465,P023,1,28295,35,19806.5,20488.71,East,Telangana,Hyderabad,Marketplace,Express,4,Card,Cancelled,-682.21,,,
O00092,21/01/2025,C0300,P041,5,35846,10,161307,144506.17,West,Karnataka,Bengaluru,Mobile App,Express,4,Card,Delivered,16800.83,,,
O00093,12/30/2025,Unknown,P021,5,40887,15,173769.75,125373.11,West,Karnataka,Bengaluru,Mobile App,Express,1,COD,Delivered,48396.64,,,
O00094,1/6/2025,C0184,P018,3,38300,5,109155,86954.55,East,Telangana,Hyderabad,Mobile App,Standard,7,COD,Delivered,22200.45,,,
O00095,21/06/2025,C0267,P026,4,39200,20,125440,97569.08,North,Karnataka,Bengaluru,Mobile App,Express,4,COD,Delivered,27870.92,,,
O00096,5/25/2025,C0275,P028,5,5347,10,24061.5,23949.32,East,Telangana,Hyderabad,Mobile App,Express,2,Card,Delivered,112.18,,,
O00097,2/9/2025,C0269,P037,2,10562,30,14786.8,13332.87,South,Maharashtra,Pune,Website,Standard,2,UPI,Cancelled,1453.93,,,
O00098,14/06/2025,C0093,P038,5,38416,5,182476,121274.98,South,Karnataka,Bengaluru,Mobile App,Standard,3,Card,Cancelled,61201.02,,,
O00099,7/13/2025,Unknown,P047,3,36257,25,81578.25,87413.06,North,Telangana,Hyderabad,Website,Standard,6,Card,Delivered,-5834.81,,,
O00100,12/6/2025,C0420,P016,2,6948,25,10422,12758.75,East,Maharashtra,Pune,Mobile App,Express,4,UPI,Cancelled,-2336.75,,,
O00101,2/1/2025,C0290,P004,4,8529,5,32410.2,20767.03,South,Karnataka,Bengaluru,Website,Standard,4,UPI,Delivered,11643.17,,,
O00102,12/18/2025,C0057,P023,1,35813,35,25069.1,21836.93,West,Telangana,Hyderabad,Marketplace,Express,7,Card,Delivered,3232.17,,,
O00103,6/6/2025,C0101,P033,3,45641,20,109538.4,120764.41,East,Telangana,Hyderabad,Mobile App,Express,6,COD,Delivered,-11226.01,,,
O00104,2/8/2025,C0005,P049,3,12737,30,26747.7,31216.36,North,Telangana,Hyderabad,Marketplace,Standard,7,Card,Delivered,-4468.66,,,
O00105,1/17/2025,C0078,P010,1,27072,20,21657.6,22741.54,North,Telangana,Hyderabad,Mobile App,Express,3,Card,Cancelled,-1083.94,,,
O00106,5/17/2025,C0227,P008,2,27916,25,41874,52408.62,East,Telangana,Hyderabad,Marketplace,Express,5,Card,Delivered,-10534.62,,,
O00107,8/4/2025,C0380,P049,4,2704,20,8652.8,9836.02,West,Maharashtra,Pune,Website,Same Day,5,UPI,Cancelled,-1183.22,,,
O00108,9/2/2025,C0315,P036,3,32494,35,68237.4,66147.5,South,Telangana,Hyderabad,Mobile App,Same Day,5,Card,Cancelled,2089.9,,,
O00109,9/12/2025,C0032,P031,2,41174,10,74113.2,59422.41,West,Telangana,Hyderabad,Mobile App,Same Day,6,Card,Cancelled,14690.79,,,
O00110,7/22/2025,C0488,P013,1,40533,25,30399.75,27020.95,East,Telangana,Hyderabad,Mobile App,Express,5,Card,Delivered,3378.8,,,
O00111,12/4/2025,C0482,P018,1,20267,0,20267,18758.76,North,Telangana,Hyderabad,Marketplace,Express,4,Card,Delivered,1508.24,,,
O00112,1/25/2025,C0413,P042,2,33116,30,46362.4,41117.09,North,Karnataka,Bengaluru,Mobile App,Express,6,Card,Delivered,5245.31,,,
O00113,11/26/2025,Unknown,P047,2,11798,5,22416.2,16413.48,West,Telangana,Hyderabad,Marketplace,Express,1,COD,Cancelled,6002.72,,,
O00114,8/5/2025,C0304,P012,5,42501,25,159378.75,175052.05,South,Telangana,Hyderabad,Mobile App,Standard,5,Card,Delivered,-15673.3,,,
O00115,8/9/2025,C0005,P032,5,43445,5,206363.75,180692.33,South,Telangana,Hyderabad,Mobile App,Standard,1,Card,Delivered,25671.42,,,
O00116,1/17/2025,C0438,P037,4,1887,35,5283.6,4848.61,North,Telangana,Hyderabad,Mobile App,Standard,7,COD,Delivered,434.99,,,
O00117,7/19/2025,C0259,P049,3,48889,15,124666.95,139096.53,East,Telangana,Hyderabad,Mobile App,Express,7,Card,Cancelled,-14429.58,,,
O00118,24/07/2025,C0047,P038,3,40841,30,85766.1,86558.76,West,Telangana,Hyderabad,Mobile App,Express,6,Card,Delivered,-792.66,,,
O00119,12/8/2025,C0075,P041,5,18996,30,66486,82871.36,East,Maharashtra,Pune,Website,Same Day,7,Net Banking,Delivered,-16385.36,,,
O00120,7/22/2025,C0383,P035,2,4162,20,6659.2,5628.35,North,Telangana,Hyderabad,Website,Express,5,COD,Delivered,1030.85,,,
O00121,15/04/2025,C0321,P014,4,43988,5,167154.4,133484.76,East,Telangana,Hyderabad,Marketplace,Express,1,Card,Delivered,33669.64,,,
O00122,13/08/2025,C0114,P022,5,40916,20,163664,183714.58,North,Karnataka,Bengaluru,Mobile App,Express,2,COD,Delivered,-20050.58,,,
O00123,1/5/2025,C0005,P013,2,36764,0,73528,52083.47,East,Telangana,Hyderabad,Marketplace,Express,6,COD,Delivered,21444.53,,,
O00124,3/6/2025,C0020,P043,2,9568,25,14352,15765.06,South,Telangana,Hyderabad,Website,Express,3,UPI,Delivered,-1413.06,,,
O00125,9/4/2025,C0106,P042,2,48870,0,97740,64180.82,North,Telangana,Hyderabad,Website,Express,6,Card,Delivered,33559.18,,,
O00126,5/31/2025,C0407,P016,3,39326,0,117978,106836.33,East,Telangana,Hyderabad,Marketplace,Standard,4,Card,Delivered,11141.67,,,
O00127,18/09/2025,C0075,P041,5,21194,0,105970,90841.92,South,Telangana,Hyderabad,Website,Standard,5,COD,Delivered,15128.08,,,
O00128,11/26/2025,C0470,P004,4,36332,25,108996,97489.27,North,Telangana,Hyderabad,Website,Same Day,3,Card,Cancelled,11506.73,,,
O01077,8/25/2025,C0373,P041,4,11835,30,33138,41912.81,South,Telangana,Hyderabad,Marketplace,Express,5,UPI,Cancelled,-8774.81,,,
O00130,21/07/2025,C0475,P028,4,20358,5,77360.4,65482.31,West,Telangana,Hyderabad,Website,Same Day,2,UPI,Delivered,11878.09,,,
O00131,6/7/2025,C0437,P020,3,32434,0,97302,68719.62,North,Telangana,Hyderabad,Marketplace,Standard,2,Card,Delivered,28582.38,,,
O00132,11/21/2025,C0136,P025,2,6084,0,12168,8353.99,South,Telangana,Hyderabad,Website,Standard,1,Card,Cancelled,3814.01,,,
O00133,5/22/2025,C0082,P003,5,31784,10,143028,140972.87,North,Telangana,Hyderabad,Website,Standard,4,COD,Cancelled,2055.13,,,
O00134,7/30/2025,C0189,P043,2,21459,15,36480.3,26542.35,North,Telangana,Hyderabad,Mobile App,Standard,4,Card,Cancelled,9937.95,,,
O00135,3/21/2025,C0250,P013,2,49795,-5,99590,87877.25,East,Telangana,Hyderabad,Mobile App,Standard,6,COD,Cancelled,11712.75,,,
O00136,13/05/2025,C0187,P014,4,43517,30,121847.6,137312.6,South,Telangana,Hyderabad,Website,Express,Not Delivered,Card,Cancelled,-15465,,,
O00137,4/15/2025,C0360,P004,4,1503,10,5410.8,5559.11,West,Telangana,Hyderabad,Marketplace,Standard,5,Net Banking,Delivered,-148.31,,,
O00138,8/17/2025,C0023,P035,3,26431,15,67399.05,56308.69,East,Telangana,Hyderabad,Marketplace,Express,3,Card,Cancelled,11090.36,,,
O00139,12/31/2025,C0262,P029,4,10636,30,29780.8,38938.74,North,Telangana,Hyderabad,Marketplace,Express,2,Card,Delivered,-9157.94,,,
O00140,7/7/2025,C0338,P006,1,36642,0,36642,31070.21,West,Karnataka,Bengaluru,Marketplace,Express,1,Net Banking,Delivered,5571.79,,,
O00141,14/12/2025,C0310,P007,3,41020,25,92295,81527.26,North,Karnataka,Bengaluru,Website,Express,3,COD,Delivered,10767.74,,,
O00142,2/27/2025,C0318,P031,2,44538,10,80168.4,60804.57,South,Telangana,Hyderabad,Mobile App,Express,5,Card,Delivered,19363.83,,,
O00143,8/31/2025,C0499,P048,2,13466,25,20199,19281.28,South,Telangana,Hyderabad,Mobile App,Standard,2,Card,Delivered,917.72,,,
O00144,10/5/2025,C0213,P023,3,23878,25,53725.5,62930.69,East,Telangana,Hyderabad,Website,Express,1,Net Banking,Delivered,-9205.19,,,
O00145,4/2/2025,C0011,P030,5,23109,25,86658.75,76602.11,North,Maharashtra,Pune,Website,Standard,2,Net Banking,Cancelled,10056.64,,,
O00146,5/6/2025,C0380,P014,1,27249,-5,27249,19264.02,North,Telangana,Hyderabad,Website,Standard,3,Card,Cancelled,7984.98,,,
O00147,1/29/2025,C0185,P006,4,46284,35,129595.2,167409.54,North,Telangana,Hyderabad,Mobile App,Same Day,4,UPI,Delivered,-37814.34,,,
O00148,6/14/2025,C0428,P043,1,47524,-5,47524,33102.76,South,Telangana,Hyderabad,Mobile App,Express,5,UPI,Cancelled,14421.24,,,
O00149,10/14/2025,C0496,P041,2,11339,0,22678,14942.66,West,Maharashtra,Mumbai,Mobile App,Express,5,UPI,Delivered,7735.34,,,
O00150,5/17/2025,C0163,P020,4,33637,0,134548,114259.48,West,Telangana,Hyderabad,Website,Standard,5,UPI,Delivered,20288.52,,,
O00151,12/19/2025,C0312,P027,1,41109,35,28776.3,28110.68,South,Maharashtra,Pune,Mobile App,Standard,5,Card,Delivered,665.62,,,
O00152,9/12/2025,C0490,P019,3,32080,-5,96240,90025.18,West,Telangana,Hyderabad,Website,Express,1,UPI,Delivered,6214.82,,,
O00153,3/12/2025,C0020,P038,1,7248,30,5073.6,5201.73,East,Telangana,Hyderabad,Mobile App,Express,1,Card,Delivered,-128.13,,,
O00154,30/10/2025,Unknown,P046,4,30752,-5,123008,80479.57,West,Maharashtra,Mumbai,Mobile App,Express,2,COD,Delivered,42528.43,,,
O00155,15/07/2025,C0468,P039,2,39940,-5,79880,48602.53,West,Telangana,Hyderabad,Website,Express,4,UPI,Delivered,31277.47,,,
O00156,22/05/2025,C0192,P006,5,20902,25,78382.5,65146.89,East,Telangana,Hyderabad,Website,Standard,7,Card,Cancelled,13235.61,,,
O00157,3/15/2025,C0410,P049,3,36511,5,104056.35,68894.63,West,Telangana,Hyderabad,Marketplace,Standard,6,Card,Cancelled,35161.72,,,
O00158,8/9/2025,C0220,P041,2,25845,20,41352,42082.02,East,Telangana,Hyderabad,Website,Express,7,Card,Cancelled,-730.02,,,
O00159,1/21/2025,C0114,P049,3,45522,5,129737.7,82950.42,South,Telangana,Hyderabad,Marketplace,Express,4,COD,Delivered,46787.28,,,
O00160,25/01/2025,C0055,P015,5,23565,5,111933.75,81521.82,South,Karnataka,Bengaluru,Website,Express,2,Card,Cancelled,30411.93,,,
O00161,4/4/2025,C0266,P048,2,10091,0,20182,15166.53,East,Maharashtra,Pune,Mobile App,Standard,6,Card,Delivered,5015.47,,,
O00162,7/2/2025,C0046,P044,3,879,35,1845.9,1955.22,North,Telangana,Hyderabad,Mobile App,Standard,3,COD,Delivered,-109.32,,,
O00163,25/09/2025,C0086,P042,2,32785,30,45899,39615.55,North,Telangana,Hyderabad,Mobile App,Standard,5,UPI,Delivered,6283.45,,,
O00164,11/17/2025,C0368,P033,5,46954,20,187816,191989.35,West,Telangana,Hyderabad,Mobile App,Same Day,5,UPI,Delivered,-4173.35,,,
O00165,12/2/2025,C0223,P013,1,43400,10,39060,29214.11,East,Karnataka,Bengaluru,Marketplace,Express,2,Card,Cancelled,9845.89,,,
O00166,4/7/2025,C0417,P018,1,929,10,836.1,644.77,North,Telangana,Hyderabad,Marketplace,Express,4,Card,Delivered,191.33,,,
O00167,7/12/2025,C0476,P019,1,5265,0,5265,4622.86,South,Maharashtra,Mumbai,Marketplace,Standard,7,COD,Cancelled,642.14,,,
O00168,6/24/2025,C0225,P038,2,42734,5,81194.6,66734.02,East,Maharashtra,Mumbai,Marketplace,Standard,6,Card,Delivered,14460.58,,,
O00169,6/9/2025,C0172,P024,1,5149,15,4376.65,3865.79,North,Telangana,Hyderabad,Mobile App,Standard,1,Card,Delivered,510.86,,,
O00170,4/13/2025,C0045,P011,5,31641,5,150294.75,126314.1,North,Karnataka,Bengaluru,Mobile App,Standard,7,UPI,Delivered,23980.65,,,
O00171,9/4/2025,C0446,P029,4,13510,25,40530,49703.61,West,Karnataka,Bengaluru,Website,Express,5,Card,Cancelled,-9173.61,,,
O00172,4/14/2025,C0015,P007,2,7515,30,10521,11591.71,West,Karnataka,Bengaluru,Mobile App,Express,5,Card,Delivered,-1070.71,,,
O00173,6/27/2025,C0097,P016,1,43849,10,39464.1,36194.1,West,Karnataka,Bengaluru,Website,Same Day,1,Card,Cancelled,3270,,,
O00174,11/9/2025,C0327,P006,5,13221,35,46273.5,62726.62,East,Telangana,Hyderabad,Website,Standard,7,Card,Delivered,-16453.12,,,
O01667,5/17/2025,C0294,P040,5,6943,-5,34715,27959.46,South,Karnataka,Bengaluru,Website,Express,1,Net Banking,Delivered,6755.54,,,
O00176,2/21/2025,C0210,P040,3,43837,-5,131511,105398.24,South,Telangana,Hyderabad,Marketplace,Express,4,Net Banking,Cancelled,26112.76,,,
O00177,10/15/2025,C0089,P030,5,43709,25,163908.75,151158.02,East,Telangana,Hyderabad,Marketplace,Standard,2,COD,Delivered,12750.73,,,
O00178,3/9/2025,C0287,P046,3,8124,30,17060.4,19226.91,North,Telangana,Hyderabad,Marketplace,Express,2,Card,Delivered,-2166.51,,,
O00179,10/2/2025,C0173,P047,1,35042,25,26281.5,24970.02,North,Maharashtra,Pune,Mobile App,Express,4,Card,Delivered,1311.48,,,
O00180,23/05/2025,C0258,P003,3,30844,5,87905.4,64337.22,South,Telangana,Hyderabad,Mobile App,Standard,1,Card,Delivered,23568.18,,,
O00181,29/11/2025,Unknown,P008,4,21439,10,77180.4,65043.59,West,Telangana,Hyderabad,Marketplace,Express,6,Net Banking,Delivered,12136.81,,,
