Return_ID,Order_ID,Customer_ID,Product_ID,Return_Date,Return_Quantity,Return_Reason,Return_Status,Refund_Amount
R0193,O01026,C0418,P041,12/9/2025,1,Damaged,Refunded,38155.61
R0194,O01241,C0247,P043,4/5/2025,1,Changed Mind,Rejected,4125.03
R0195,O00259,C0457,P002,25/05/2025,2,Changed Mind,Refunded,21788.25
R0196,O00538,C0490,P040,5/1/2025,1,Late Delivery,Pending,66242.95
R0197,O00910,C0301,P005,7/7/2025,2,Defective,Approved,30343.33
R0198,O02991,C0097,P048,19/10/2025,3,Wrong Item,Rejected,41715.11
R0199,O00951,C0192,P016,7/2/2025,2,Changed Mind,Refunded,57448.11
R0200,O01463,C0105,P049,24/05/2025,3,Size/Color Issue,Approved,10085.42
R0201,O01568,C0159,P015,19/02/2025,2,Defective,Rejected,42058.47
R0202,O01184,C0214,P035,7/7/2025,1,Wrong Item,Refunded,37755.8
R0203,O03000,C0437,P017,24/01/2025,1,Wrong Item,Rejected,60395.46
R0204,O02947,C0158,P026,23/09/2025,2,Wrong Item,Pending,24933.46
R0205,O01555,C0137,P005,10/11/2025,2,Wrong Item,Refunded,74300.87
R0206,O02840,C0228,P009,3/6/2025,3,Defective,Refunded,53301.12
R0207,O00771,C0302,P002,3/6/2025,2,Not as Expected,Approved,27942.66
R0208,O00795,C0356,P023,11/12/2025,1,Late Delivery,Rejected,59858.23
R0209,O01825,C0447,P022,19/12/2025,3,Damaged,Refunded,20282.02
R0210,O00031,C0025,P048,2/12/2025,3,Changed Mind,Pending,54244.31
R0211,O01632,C0320,P046,26/10/2025,2,Wrong Item,Refunded,11509.29
R0212,O00468,C0456,P046,15/12/2025,1,Damaged,Approved,14713.43
R0213,O00952,C0113,P001,14/08/2025,2,Late Delivery,Pending,31265.53
R0214,O02856,C0167,P040,15/04/2025,2,Changed Mind,Refunded,65524.92
R0215,O00724,C0263,P018,1/2/2025,3,WRONG ITEM,Pending,42286.06
R0216,O02534,C0358,P016,6/12/2025,2,Changed Mind,Refunded,23874.57
R0217,O02551,C0129,P010,30/03/2025,2,Changed Mind,Rejected,41197.35
R0218,O01438,C0461,P048,13/12/2025,3,Size/Color Issue,Rejected,45950.71
R0219,O01873,C0482,P047,9/4/2025,1,Defective,Rejected,17252.59
R0220,O01468,C0318,P021,2/6/2025,2,Size/Color Issue,Pending,51922.87
R0221,O00299,C0362,P004,8/9/2025,2,Late Delivery,Rejected,42256.33
R0222,O01869,C0029,P006,21/05/2025,2,Damaged,Refunded,67234.15
R0223,O00165,C0223,P013,22/07/2025,2,Not as Expected,Pending,22138.72
R0224,O00415,C0336,P023,28/05/2025,3,Damaged,Rejected,69338.72
R0225,O02750,C0458,P013,2/12/2025,2,Size/Color Issue,Refunded,16442.02
R0226,O01306,C0068,P012,3/10/2025,2,Changed Mind,Rejected,10726.84
R0227,O01219,Unknown,P034,12/11/2025,3,Changed Mind,Pending,18563.12
R0228,O01599,C0292,P043,9/12/2025,3,Wrong Item,Pending,4410.59
R0229,O02539,C0241,P037,31/07/2025,2,Size/Color Issue,Refunded,7990.6
R0230,O02598,C0448,P025,12/3/2025,1,Changed Mind,Pending,30814.61
R0231,O01315,C0474,P036,1/9/2025,2,Size/Color Issue,Pending,0
R0232,O00075,C0111,P020,28/05/2025,2,Defective,Approved,68141.3
R0233,O00573,C0332,P026,15/02/2025,3,Changed Mind,Pending,40368.84
R0234,O02305,C0020,P001,20/01/2025,1,Late Delivery,Pending,70077.23
R0235,O00214,C0436,P038,19/01/2025,2,Not as Expected,Refunded,14380.22
R0236,O02216,C0092,P023,29/05/2025,1,Damaged,Rejected,42813.16
R0237,O00065,C0014,P038,24/02/2025,2,Defective,Refunded,74187.91
R0238,O01526,C0429,P026,6/10/2025,3,Late Delivery,Pending,63903.95
R0239,O00986,C0145,P050,28/08/2025,2,Wrong Item,Approved,25135.97
R0240,O00321,C0190,P049,23/08/2025,3,DEFECTIVE,Pending,1549.27
R0241,O00046,C0044,P011,22/06/2025,2,Changed Mind,Pending,13574.37
R0242,O01138,C0059,P016,24/11/2025,2,Not as Expected,Refunded,38888.41
R0243,O02823,C0107,P049,14/02/2025,2,Size/Color Issue,Approved,14266.2
R0244,O02892,C0054,P029,13/03/2025,2,Defective,Pending,1008.84
R0245,O02869,C0464,P003,16/07/2025,1,Late Delivery,Rejected,71575.59
R0246,O02845,C0155,P027,4/6/2025,3,Size/Color Issue,Approved,19985.71
R0247,O00082,C0407,P011,4/7/2025,3,Wrong Item,Approved,50250.07
R0248,O02461,C0187,P033,27/08/2025,2,Wrong Item,Refunded,51612.48
R0249,O02493,C0029,P027,27/12/2025,2,Size/Color Issue,Approved,48083.99
R0250,O01940,C0299,P037,1/6/2025,2,Changed Mind,Pending,16825.08
R0251,O00095,C0267,P026,10/3/2025,2,Wrong Item,Refunded,56206.25
R0252,O01604,C0106,P026,7/11/2025,2,Late Delivery,Refunded,56922.61
R0253,O02220,C0409,P002,7/12/2025,1,Not as Expected,Pending,51185.47
R0254,O02252,C0291,P020,2/11/2025,1,Changed Mind,Refunded,39848.9
R0255,O01623,C0275,P034,5/7/2025,1,Changed Mind,Approved,5100.97
R0256,O02214,C0038,P028,8/10/2025,3,Wrong Item,Pending,12758.02
R0257,O00754,C0300,P009,24/09/2025,2,Damaged,Pending,53910.39
R0258,O01472,C0280,P043,8/9/2025,1,Changed Mind,Refunded,60747.56
R0259,O00676,C0037,P018,21/08/2025,1,Changed Mind,Refunded,34531.49
R0260,O01566,C0410,P039,30/01/2025,3,Late Delivery,Rejected,54384.37
R0261,O00335,C0379,P020,22/07/2025,2,Not as Expected,Approved,56062.43
R0262,O01356,C0389,P040,24/10/2025,1,Damaged,Refunded,26167.4
R0263,O00465,C0147,P028,2/2/2025,3,Damaged,Approved,73967.22
R0264,O01049,C0390,P023,30/08/2025,1,Defective,Refunded,13908.61
R0265,O01603,C0033,P024,11/3/2025,3,Size/Color Issue,Refunded,28397.34
R0266,O01580,C0084,P010,15/07/2025,2,Not as Expected,Refunded,28485.59
R0267,O00242,C0308,P032,16/12/2025,3,Not as Expected,Pending,49188.29
R0268,O01832,C0050,P021,28/06/2025,1,Wrong Item,Refunded,39898.77
R0269,O02663,C0061,P028,25/04/2025,1,Not as Expected,Approved,73397.56
R0270,O01056,C0321,P036,26/08/2025,3,Size/Color Issue,Refunded,40129.05
R0271,O00919,Unknown,P018,28/04/2025,1,Late Delivery,Rejected,12056.54
R0272,O01842,C0089,P003,7/4/2025,3,Not as Expected,Approved,2900.19
R0273,O02557,C0061,P024,5/12/2025,2,Changed Mind,Approved,18429.64
R0274,O01512,C0136,P035,4/2/2025,1,Changed Mind,Approved,33759.86
R0275,O01501,C0303,P025,11/12/2025,3,Not as Expected,Approved,18732.69
R0276,O02396,C0164,P001,23/01/2025,2,Late Delivery,Pending,40712.11
R0277,O01418,C0426,P001,29/01/2025,1,Changed Mind,Rejected,17945.03
R0278,O02276,C0088,P018,22/10/2025,2,Changed Mind,Rejected,18149.35
R0279,O01897,C0475,P006,15/03/2025,3,Changed Mind,Pending,31310.24
R0280,O02407,C0178,P012,21/05/2025,1,Changed Mind,Pending,47136.49
R0281,O00500,C0103,P013,7/8/2025,3,Late Delivery,Approved,72935.62
R0282,O00840,C0353,P013,26/11/2025,3,Late Delivery,Rejected,52374.98
R0283,O00372,C0056,P010,29/07/2025,1,Defective,Refunded,14198.98
R0284,O00540,C0318,P037,3/10/2025,2,Wrong Item,Pending,22904.86
R0285,O02408,C0446,P013,29/12/2025,1,Not as Expected,Refunded,68648.22
R0286,O00370,C0332,P003,15/10/2025,2,Late Delivery,Pending,29437.22
R0287,O01204,C0466,P045,11/5/2025,1,Defective,Approved,69205.84
R0288,O00683,C0178,P019,9/7/2025,1,Changed Mind,Pending,4339.48
R0289,O01069,C0081,P030,13/07/2025,3,Changed Mind,Approved,65584.72
R0290,O02721,C0481,P027,7/4/2025,3,Size/Color Issue,Pending,36214.87
R0291,O00607,C0053,P016,20/06/2025,2,Damaged,Pending,70318.4
R0292,O00880,C0419,P029,2/3/2025,3,Not as Expected,Refunded,68625.88
R0293,O00850,C0087,P022,23/12/2025,3,Size/Color Issue,Pending,30049.09
R0294,O01353,C0217,P008,3/5/2025,3,Defective,Rejected,28859.3
R0295,O02797,C0454,P005,1/10/2025,3,Defective,Rejected,19986.34
R0296,O01987,C0094,P034,20/09/2025,2,Late Delivery,Approved,60309.84
R0297,O01442,C0046,P029,29/08/2025,2,Wrong Item,Rejected,23812.69
R0298,O00936,C0205,P033,24/01/2025,3,Not as Expected,Pending,55723.3
R0299,O00711,C0303,P036,9/1/2025,2,Changed Mind,Refunded,22491.83
R0300,O02559,C0137,P042,11/4/2025,2,Wrong Item,Refunded,42949.32
R0301,O00835,C0321,P031,6/5/2025,2,Changed Mind,Rejected,19670.84
R0302,O02957,C0064,P034,8/9/2025,3,Size/Color Issue,Refunded,34831.76
R0303,O02418,C0494,P011,30/06/2025,1,Wrong Item,Refunded,14211.56
R0304,O02655,C0086,P017,5/10/2025,3,Damaged,Approved,63010.6
R0305,O02328,C0076,P031,8/2/2025,3,Damaged,Approved,31223.22
R0306,O02038,C0122,P031,19/11/2025,1,Damaged,Pending,1181.04
R0307,O00072,C0117,P006,16/09/2025,2,Defective,Approved,46528.73
R0308,O00416,C0151,P032,8/12/2025,3,Late Delivery,Refunded,1672.02
R0309,O00437,C0434,P028,30/09/2025,3,Late Delivery,Approved,1746.1
R0310,O00324,C0497,P007,21/05/2025,3,Defective,Approved,37915.09
R0311,O00057,C0385,P034,24/12/2025,3,Late Delivery,Pending,8472.72
R0312,O02958,C0083,P021,19/02/2025,3,Wrong Item,Pending,14798.94
R0313,O00586,C0467,P015,27/09/2025,2,Not as Expected,Rejected,20415.69
R0314,O00484,C0226,P010,23/07/2025,1,Defective,Refunded,34695.33
R0315,O01707,C0393,P043,5/5/2025,3,Wrong Item,Rejected,51461.1
R0316,O00623,C0210,P042,11/2/2025,3,Not as Expected,Approved,7465.79
R0317,O01776,C0224,P034,14/07/2025,2,Changed Mind,Refunded,4680.56
R0318,O00815,C0105,P004,5/1/2025,3,Wrong Item,Approved,37739.45
R0319,O00816,C0272,P024,11/8/2025,3,Not as Expected,Rejected,42656.32
R0320,O02466,C0280,P041,18/02/2025,3,Damaged,Pending,16250.57
R0321,O02029,C0271,P014,21/12/2025,3,Late Delivery,Rejected,3968.87
R0322,O01273,C0367,P007,8/2/2025,3,Defective,Approved,13861.91
R0323,O00327,C0394,P007,11/6/2025,1,Wrong Item,Pending,56542.96
R0324,O01520,C0115,P048,31/12/2025,2,Damaged,Rejected,12602.54
R0325,O02080,C0384,P013,4/5/2025,3,Not as Expected,Refunded,50939.1
R0326,O02194,C0086,P029,4/10/2025,2,Late Delivery,Pending,59392.11
R0327,O01127,C0144,P028,19/12/2025,3,Damaged,Rejected,4500.38
R0328,O02275,C0017,P029,12/8/2025,1,Not as Expected,Approved,25874.16
R0329,O00848,C0156,P016,11/11/2025,3,Late Delivery,Rejected,2707.11
R0330,O00750,C0208,P008,20/05/2025,2,Late Delivery,Pending,27007.93
R0331,O01898,C0273,P026,12/7/2025,2,Wrong Item,Refunded,6884.21
R0332,O02154,C0246,P033,13/11/2025,2,Not as Expected,Pending,53626.59
R0333,O02987,C0268,P049,12/2/2025,2,Wrong Item,Refunded,53519.95
R0334,O02624,C0142,P009,21/11/2025,1,Size/Color Issue,Refunded,24092.53
R0335,O00123,C0005,P013,24/02/2025,1,Damaged,Rejected,33632.82
R0336,O01522,Unknown,P035,19/05/2025,1,Wrong Item,Approved,14460.69
R0337,O02820,C0478,P013,18/08/2025,3,Changed Mind,Refunded,8195.32
R0338,O01471,C0217,P049,15/02/2025,2,Changed Mind,Approved,44970.88
R0339,O01935,C0351,P021,16/06/2025,2,Damaged,Rejected,31328.85
R0340,O00503,C0366,P030,13/02/2025,3,Changed Mind,Pending,43111.05
R0341,O02211,C0045,P041,28/03/2025,3,Late Delivery,Pending,10843.58
R0342,O00236,C0101,P021,4/6/2025,2,Late Delivery,Pending,5213.4
R0343,O00537,C0354,P016,11/8/2025,2,Late Delivery,Rejected,36575.23
R0344,O00560,C0176,P025,9/2/2025,2,Defective,Pending,54207.01
R0345,O00114,C0304,P012,11/9/2025,3,Changed Mind,Pending,34610.69
R0346,O01085,C0488,P028,11/3/2025,2,Damaged,Refunded,25250.18
